# 频道聚合播放源
# 时间: 20260826_121750
# 频道数: 52, 播放源总数: 177
# 格式: 台名 | 分组 | 主/备 | URL | 分辨率 | 码率
#

# [央视频道] CCTV-1综合
CCTV-1综合 | 央视频道 | 主 | http://111.59.24.227:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 448kbps
CCTV-1综合 | 央视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/1/live.m3u8 | 1920x1080 256kbps
CCTV-1综合 | 央视频道 | 备 | http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-1综合 | 央视频道 | 备 | http://182.150.23.74:808/hls/1/index.m3u8 | 1920x1080 256kbps
CCTV-1综合 | 央视频道 | 备 | http://112.46.85.60:8009/hls/501/index.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-2财经
CCTV-2财经 | 央视频道 | 主 | http://111.59.24.227:8181/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 448kbps
CCTV-2财经 | 央视频道 | 备 | http://221.7.175.154:8445/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-2财经 | 央视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/2/live.m3u8 | 1920x1080 256kbps
CCTV-2财经 | 央视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/2/live.m3u8 | 1920x1080 256kbps
CCTV-2财经 | 央视频道 | 备 | http://112.46.85.60:8009/hls/502/index.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-3综艺
CCTV-3综艺 | 央视频道 | 主 | http://59.39.89.130:60901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-3综艺 | 央视频道 | 备 | http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-3综艺 | 央视频道 | 备 | http://124.116.183.146:9901/tsfile/live/0003_1.m3u8 | 1920x1080 96kbps

# [央视频道] CCTV-4中文国际
CCTV-4中文国际 | 央视频道 | 主 | http://111.59.24.227:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 448kbps
CCTV-4中文国际 | 央视频道 | 备 | http://113.57.140.161:10081/newlive/live/hls/4/live.m3u8 | 1920x1080 448kbps
CCTV-4中文国际 | 央视频道 | 备 | http://61.161.61.119:9004/hls/4/index.m3u8 | 1920x1080 256kbps
CCTV-4中文国际 | 央视频道 | 备 | http://58.56.162.102:4466/newlive/live/hls/4/live.m3u8 | 1920x1080 256kbps
CCTV-4中文国际 | 央视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/4/live.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-5体育
CCTV-5体育 | 央视频道 | 主 | http://221.7.175.154:8445/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-5体育 | 央视频道 | 备 | http://gmxw.7766.org:808/hls/93/index.m3u8 | 1920x1080 256kbps
CCTV-5体育 | 央视频道 | 备 | http://183.11.239.36:808/hls/93/index.m3u8 | 1920x1080 256kbps
CCTV-5体育 | 央视频道 | 备 | http://124.116.183.146:9901/tsfile/live/0005_1.m3u8 | 1920x1080 96kbps

# [央视频道] CCTV-5+体育赛事
CCTV-5+体育赛事 | 央视频道 | 主 | http://120.40.39.246:352/newlive/live/hls/6/live.m3u8 | 1920x1080 256kbps
CCTV-5+体育赛事 | 央视频道 | 备 | http://153.0.171.163:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-5+体育赛事 | 央视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/6/live.m3u8 | 1920x1080 256kbps
CCTV-5+体育赛事 | 央视频道 | 备 | http://61.162.52.6:8088/newlive/live/hls/6/live.m3u8 | 1920x1080 256kbps
CCTV-5+体育赛事 | 央视频道 | 备 | http://123.130.84.106:8154/tsfile/live/0016_1.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-6电影
CCTV-6电影 | 央视频道 | 主 | http://112.30.73.119:229/tsfile/live/0006_2.m3u8?key=txiptv&playlive=0&authid=0 | 1920x1080 256kbps
CCTV-6电影 | 央视频道 | 备 | http://118.122.144.115:8888/newlive/live/hls/7/live.m3u8 | 1920x1080 256kbps
CCTV-6电影 | 央视频道 | 备 | http://59.39.89.130:60901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0 | 1920x1080 256kbps
CCTV-6电影 | 央视频道 | 备 | http://113.57.140.161:10081/newlive/live/hls/7/live.m3u8 | 1920x1080 192kbps

# [央视频道] CCTV-7国防军事
CCTV-7国防军事 | 央视频道 | 主 | http://118.122.144.115:8888/newlive/live/hls/8/live.m3u8 | 1920x1080 256kbps
CCTV-7国防军事 | 央视频道 | 备 | http://182.150.23.74:808/hls/7/index.m3u8 | 1920x1080 256kbps
CCTV-7国防军事 | 央视频道 | 备 | http://58.56.162.102:4466/newlive/live/hls/8/live.m3u8 | 1920x1080 256kbps
CCTV-7国防军事 | 央视频道 | 备 | http://120.40.39.246:352/newlive/live/hls/8/live.m3u8 | 1920x1080 256kbps
CCTV-7国防军事 | 央视频道 | 备 | http://112.46.85.60:8009/hls/504/index.m3u8 | 1920x1080 256kbps

# [央视频道] CCTV-8电视剧
CCTV-8电视剧 | 央视频道 | 主 | http://118.122.144.115:8888/newlive/live/hls/9/live.m3u8 | 1920x1080 256kbps
CCTV-8电视剧 | 央视频道 | 备 | http://182.150.23.74:808/hls/8/index.m3u8 | 1920x1080 256kbps
CCTV-8电视剧 | 央视频道 | 备 | http://gmxw.7766.org:808/hls/96/index.m3u8 | 1920x1080 256kbps
CCTV-8电视剧 | 央视频道 | 备 | http://113.57.140.161:10081/newlive/live/hls/9/live.m3u8 | 1920x1080 192kbps
CCTV-8电视剧 | 央视频道 | 备 | http://124.116.183.146:9901/tsfile/live/0008_1.m3u8 | 1920x1080 96kbps

# [央视频道] CCTV-9纪录
CCTV-9纪录 | 央视频道 | 主 | http://113.57.140.161:10081/newlive/live/hls/10/live.m3u8 | 1920x1080 448kbps
